Order #,Opened,# of Guests,Server,Discount Amount,Amount,Tax,Tip
1,1/1/26 11:01 AM,2,Lila Pham,0.00,56.00,4.62,11.20
2,1/1/26 11:16 AM,3,Felix Phan,0.00,81.00,6.68,12.00
3,1/1/26 11:22 AM,1,Felix Phan,0.00,34.00,2.80,7.48
6,1/1/26 11:30 AM,1,Default Online Ordering,0.00,90.00,7.43,0.00
4,1/1/26 11:27 AM,4,Lila Pham,0.00,104.00,8.59,20.80
5,1/1/26 11:30 AM,2,Felix Phan,0.00,56.00,4.62,8.38
7,1/1/26 11:34 AM,1,Lila Pham,0.00,40.00,3.30,8.00
9,1/1/26 11:54 AM,1,Default Online Ordering,0.00,38.00,3.14,0.00
8,1/1/26 11:47 AM,2,John Mann,0.00,30.00,2.47,6.00
10,1/1/26 11:59 AM,3,John Mann,25.00,44.50,3.67,15.29
11,1/1/26 12:02 PM,2,Lila Pham,0.00,21.50,1.77,4.30
12,1/1/26 12:07 PM,2,Lila Pham,0.00,56.00,4.62,12.32
13,1/1/26 12:12 PM,5,John Mann,0.00,139.00,11.48,30.58
16,1/1/26 12:15 PM,1,John Mann,19.00,0.00,0.00,0.00
14,1/1/26 12:13 PM,4,Felix Phan,0.00,82.49,6.80,15.00
18,1/1/26 12:16 PM,2,Felix Phan,0.00,61.00,5.03,12.20
17,1/1/26 12:16 PM,2,Lila Pham,0.00,61.50,5.08,14.50
19,1/1/26 12:20 PM,2,John Mann,0.00,28.00,2.31,5.60
20,1/1/26 12:25 PM,6,Felix Phan,0.00,125.00,10.31,0.00
21,1/1/26 12:30 PM,2,John Mann,0.00,44.00,3.63,8.80
22,1/1/26 12:31 PM,4,Lila Pham,0.00,65.49,5.40,13.10
26,1/1/26 12:47 PM,1,Default Online Ordering,0.05,21.95,1.81,2.38
23,1/1/26 12:35 PM,3,Lila Pham,0.00,112.00,9.23,22.40
24,1/1/26 12:45 PM,4,Lila Pham,0.00,67.50,5.57,13.50
25,1/1/26 12:46 PM,3,John Mann,0.00,68.00,5.60,10.00
27,1/1/26 12:51 PM,4,Lila Pham,0.00,74.00,6.11,0.00
28,1/1/26 12:57 PM,4,Felix Phan,0.00,79.00,6.51,17.38
31,1/1/26 12:59 PM,1,John Mann,15.00,0.00,0.00,0.00
29,1/1/26 12:58 PM,2,Felix Phan,0.00,50.50,4.16,7.00
33,1/1/26 1:00 PM,1,John Mann,17.00,0.00,0.00,0.00
34,1/1/26 1:05 PM,2,Lila Pham,0.00,64.50,5.31,12.90
35,1/1/26 1:09 PM,4,John Mann,0.00,66.00,5.44,13.20
36,1/1/26 1:13 PM,3,Felix Phan,0.00,60.50,4.99,8.50
37,1/1/26 1:20 PM,3,John Mann,0.00,55.50,4.58,11.47
38,1/1/26 1:22 PM,2,Felix Phan,0.00,47.00,3.88,9.40
39,1/1/26 1:30 PM,2,John Mann,5.00,27.50,2.28,6.50
40,1/1/26 1:37 PM,3,Lila Pham,0.00,51.75,4.27,11.38
41,1/1/26 1:46 PM,1,Default Online Ordering,0.00,18.00,1.07,0.00
42,1/1/26 1:47 PM,6,Felix Phan,0.00,173.50,14.32,34.70
43,1/1/26 1:49 PM,3,John Mann,13.00,53.50,4.41,10.70
44,1/1/26 1:53 PM,3,Lila Pham,0.00,89.49,7.37,5.00
45,1/1/26 2:00 PM,2,Lila Pham,0.00,46.50,3.83,8.00
47,1/1/26 2:10 PM,1,Default Online Ordering,0.00,28.00,2.31,0.00
46,1/1/26 2:04 PM,4,John Mann,0.00,51.00,4.20,12.75
51,1/1/26 2:20 PM,1,Default Online Ordering,0.00,28.00,2.31,0.00
48,1/1/26 2:11 PM,3,Felix Phan,0.00,52.50,4.33,10.00
49,1/1/26 2:14 PM,4,Felix Phan,0.00,92.50,7.63,18.50
53,1/1/26 2:22 PM,1,Default Online Ordering,0.00,69.50,5.73,0.00
50,1/1/26 2:16 PM,6,Lila Pham,0.00,161.00,13.25,32.20
52,1/1/26 2:21 PM,2,Felix Phan,0.00,70.50,5.82,5.00
54,1/1/26 2:31 PM,6,Felix Phan,0.00,102.00,8.40,20.40
55,1/1/26 2:36 PM,2,John Mann,0.00,28.00,2.31,4.00
56,1/1/26 2:39 PM,2,Lila Pham,0.00,43.00,3.55,6.00
57,1/1/26 2:44 PM,4,John Mann,0.00,74.50,6.15,18.62
59,1/1/26 2:47 PM,1,John Mann,17.00,0.00,0.00,0.00
61,1/1/26 2:48 PM,2,Felix Phan,0.00,42.00,3.46,8.40
62,1/1/26 3:09 PM,3,Lila Pham,0.00,99.00,8.15,19.80
63,1/1/26 3:14 PM,5,John Mann,0.00,133.00,10.97,13.00
64,1/1/26 3:21 PM,4,Felix Phan,0.00,114.50,9.45,22.90
65,1/1/26 3:22 PM,1,Lila Pham,0.00,37.00,3.05,2.00
66,1/1/26 3:24 PM,2,John Mann,0.00,37.00,3.05,7.40
67,1/1/26 3:28 PM,2,Felix Phan,0.00,32.75,2.71,6.55
68,1/1/26 3:38 PM,3,Lila Pham,0.00,61.00,5.04,12.20
69,1/1/26 3:42 PM,2,Felix Phan,9.50,69.50,5.73,10.00
70,1/1/26 3:43 PM,3,Lila Pham,7.65,68.85,5.67,16.83
72,1/1/26 3:52 PM,4,John Mann,0.00,69.50,5.73,0.00
75,1/1/26 5:35 PM,1,Default Online Ordering,0.00,45.50,3.75,7.39
73,1/1/26 4:06 PM,1,Lila Pham,112.50,0.00,0.00,0.00
74,1/1/26 4:06 PM,3,Felix Phan,0.00,84.00,6.93,16.80
76,1/1/26 4:08 PM,3,Felix Phan,0.00,85.50,7.05,17.10
